,Area,Aspect Ratio,Major Pointedness,Minor Pointedness,Circularity,Intensity Std,Intensity Skew,Intensity Kurt,Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name,Cluster
121,12.867,1.672,0.051739999999999994,0.031110000000000002,0.759,1451.04,0.341,0.235,0,6851.533,189,649,165021,week0_A02_cluster_1,0
122,14.665999999999999,1.6880000000000002,0.00826,0.017669999999999998,0.779,1023.5189999999999,0.48200000000000004,1.504,0,6851.533,189,649,165021,week0_A02_cluster_1,0
123,17.91,1.82,0.032889999999999996,0.04743,0.743,1373.2060000000001,1.028,1.86,0,6851.533,189,649,165021,week0_A02_cluster_1,0
124,7.301,1.456,0.00547,0.03896,0.8590000000000001,1300.431,0.866,1.15,0,6851.533,189,649,165021,week0_A02_cluster_1,0
125,17.111,1.666,0.026860000000000002,0.04117,0.721,1174.155,-0.14800000000000002,0.6659999999999999,0,6851.533,189,649,165021,week0_A02_cluster_1,0
126,10.3,1.722,0.028919999999999998,0.01103,0.703,1216.588,-0.207,-0.048,0,6851.533,189,649,165021,week0_A02_cluster_1,0
127,9.152999999999999,1.8,0.05339,0.019790000000000002,0.7340000000000001,1130.36,0.302,0.299,0,6851.533,189,649,165021,week0_A02_cluster_1,0
128,9.962,1.056,0.02885,0.00512,0.8340000000000001,1152.434,0.42,0.7440000000000001,0,6851.533,189,649,165021,week0_A02_cluster_1,0
129,11.613,1.775,0.0533,0.02539,0.782,942.015,0.268,0.363,0,6851.533,189,649,165021,week0_A02_cluster_1,0
130,13.117,1.386,0.08565,0.011059999999999999,0.8140000000000001,1270.381,-0.42200000000000004,0.41700000000000004,0,6851.533,189,649,165021,week0_A02_cluster_1,0
131,22.128,1.278,0.014219999999999998,0.06727000000000001,0.807,1369.6979999999999,0.363,0.599,0,6851.533,189,649,165021,week0_A02_cluster_1,0
132,15.17,1.3940000000000001,0.05095,0.0437,0.7909999999999999,1366.435,0.185,0.19399999999999998,0,6851.533,189,649,165021,week0_A02_cluster_1,0
133,12.921,1.693,0.05945,0.0321,0.7659999999999999,1176.517,0.512,0.78,0,6851.533,189,649,165021,week0_A02_cluster_1,0
134,12.289000000000001,1.9869999999999999,0.058170000000000006,0.0012900000000000001,0.764,1177.902,-0.133,1.121,0,6851.533,189,649,165021,week0_A02_cluster_1,0
135,9.08,1.614,0.00512,0.01347,0.7809999999999999,1387.989,0.259,-0.33299999999999996,0,6851.533,189,649,165021,week0_A02_cluster_1,0
136,8.639,2.496,0.15846,0.032369999999999996,0.602,1836.0439999999999,0.188,-0.397,0,6851.533,189,649,165021,week0_A02_cluster_1,0
137,7.272,1.321,0.015309999999999999,0.04766,0.8340000000000001,1144.942,0.7040000000000001,0.8240000000000001,0,6851.533,189,649,165021,week0_A02_cluster_1,0
138,7.154,1.9680000000000002,0.06925,0.02712,0.765,862.187,-0.19399999999999998,0.26,0,6851.533,189,649,165021,week0_A02_cluster_1,0
139,10.074,1.28,0.029269999999999997,0.007540000000000001,0.871,1520.832,0.562,0.162,0,6851.533,189,649,165021,week0_A02_cluster_1,0
140,8.707,1.518,0.02755,0.00687,0.807,1786.346,0.461,0.192,0,6851.533,189,649,165021,week0_A02_cluster_1,0
141,13.524000000000001,1.284,0.06416000000000001,0.0191,0.82,1074.606,0.11199999999999999,0.575,0,6851.533,189,649,165021,week0_A02_cluster_1,0
142,12.475,1.929,0.03783,0.00398,0.7340000000000001,1336.105,0.29100000000000004,0.677,0,6851.533,189,649,165021,week0_A02_cluster_1,0
143,9.942,1.815,0.017,0.07996,0.755,1232.7060000000001,0.555,0.774,0,6851.533,189,649,165021,week0_A02_cluster_1,0
144,6.718,1.764,0.08717000000000001,0.043,0.775,970.9810000000001,0.124,0.47,0,6851.533,189,649,165021,week0_A02_cluster_1,0
145,10.413,1.922,0.06287999999999999,0.02482,0.773,1418.66,0.43200000000000005,0.6459999999999999,0,6851.533,189,649,165021,week0_A02_cluster_1,0
146,10.295,2.013,0.02104,0.05014,0.73,1434.386,-0.066,-0.17800000000000002,0,6851.533,189,649,165021,week0_A02_cluster_1,0
147,8.33,1.6980000000000002,0.01237,0.00398,0.8109999999999999,1480.6229999999998,0.152,-0.062,0,6851.533,189,649,165021,week0_A02_cluster_1,0
148,8.977,1.983,0.07969,0.046130000000000004,0.7140000000000001,1121.343,0.22,-0.011000000000000001,0,6851.533,189,649,165021,week0_A02_cluster_1,0
149,7.6339999999999995,1.53,0.07,0.06877,0.7979999999999999,1177.848,-1.369,3.3289999999999997,0,6851.533,189,649,165021,week0_A02_cluster_1,0
150,11.857999999999999,2.062,0.04963,0.0027,0.738,1031.51,-1.64,4.285,0,6851.533,189,649,165021,week0_A02_cluster_1,0
151,12.549000000000001,1.732,0.017580000000000002,0.02153,0.8029999999999999,1052.798,0.289,-0.294,0,6851.533,189,649,165021,week0_A02_cluster_1,0
152,10.011000000000001,1.864,0.07266,0.04446,0.7190000000000001,1527.433,0.5710000000000001,0.20600000000000002,0,6851.533,189,649,165021,week0_A02_cluster_1,0
153,10.735999999999999,2.254,0.07749,0.04156,0.6729999999999999,1099.9489999999998,-0.266,1.021,0,6851.533,189,649,165021,week0_A02_cluster_1,0
154,10.3,1.3090000000000002,0.03369,0.025869999999999997,0.8740000000000001,1344.096,0.624,0.8029999999999999,0,6851.533,189,649,165021,week0_A02_cluster_1,0
155,12.24,2.012,0.03864,0.05878,0.7170000000000001,1247.076,0.8290000000000001,2.102,0,6851.533,189,649,165021,week0_A02_cluster_1,0
156,12.818,1.891,0.03138,0.03669,0.6779999999999999,1144.243,0.35,0.363,0,6851.533,189,649,165021,week0_A02_cluster_1,0
157,11.064,1.785,0.08677,0.02291,0.785,1112.03,-0.185,0.503,0,6851.533,189,649,165021,week0_A02_cluster_1,0
158,8.59,1.53,0.01731,0.06511,0.755,922.488,0.054000000000000006,-0.156,0,6851.533,189,649,165021,week0_A02_cluster_1,0
159,7.8839999999999995,1.68,0.00057,0.022580000000000003,0.769,1425.332,-0.278,-0.157,0,6851.533,189,649,165021,week0_A02_cluster_1,0
160,11.794,1.598,0.01695,0.0842,0.758,1341.172,0.265,0.302,0,6851.533,189,649,165021,week0_A02_cluster_1,0
161,10.045,1.882,0.03025,0.0238,0.762,917.842,-0.38299999999999995,0.081,0,6851.533,189,649,165021,week0_A02_cluster_1,0
